Ile wierszy,Ile atrybutów,Ilość pustych wartości,Minimalna ilość pustych w kolumach,Średnia ilosc pustych w kolumnach,Maksymalna ilosc pustych w kolumnach,Minimalna srednia w kolumnach,Srednia średnich,Maksymalna srednia w kolumnach,Minimalna mediana,Średnia mediana danych,Maksymalna mediana,Minimalna moda,Średnia moda danych,Maksymalna moda,Minimalne odchylenie standardowe,Średnie odchylenie standardowe,Maksymalne odchylenie standardowe,Minimalna wariancja,Średnia wariancja,Maksymalna wariancja,Minimalna skośność,Średnia skośność,Maksymalna skośność,Minimalna kurtoza,Średnia kurtoza,Maksymalna kurtoza,Minimalna wartosc danych,Maksymalna wartość w danych,Minimalny kwartyl 25%,Średni kwartyl 25%,Maksymalny kwartyl 25%,Minimalny kwartyl 50%,Średni kwartyl 50%,Maksymalny kwartyl 50%,Minimalny kwartyl 75%,Średni kwartyl 75%,Maksymalny kwartyl 75%,Minimalny rozstęp,Średni rozstęp,Maksymalny rozstęp,Ilość unikalnych wartości atrybutu decyzyjnego,Minimalna liczba unikalnych wartości,Średnia ilość unikalnych wartości atrybutów,Maksymalna liczba unikalnych wartości,Rozkład normalny Shapiro,Rozkład normalny D’Agostino’s,Rozkład normalny Anderson-Darling,Metoda_metryka,Parametr,Wynik miary
1830,33,0,0,0.0,0,-0.0001,0.0736,2.406,-0.0001,0.0608,2.0,-0.0012,0.0303,1.0,0.0001,0.0422,1.2963,0.0,0.0509,1.6803,-1.4909,0.931,5.3923,-0.9107,26.4234,76.0682,-0.0823,5.0,-0.0017,0.0301,1.0,-0.0001,0.0608,2.0,0.0,0.092,3.0,0.0016,0.159,4.0,5,5,1725.1818,1829,0,0,0,Agglomerative cosine,7.0,0.82
740,21,0,0,0.0,0,0.0541,47.8363,271.4902,0.0,47.5357,264.249,0.0,42.9141,222.196,0.2263,9.5963,66.9522,0.0512,329.2214,4482.6002,-1.2617,1.0402,5.7207,-1.9305,3.6204,38.7773,0.0,388.0,0.0,41.3041,244.387,0.0,47.5357,264.249,0.0,54.0103,294.217,1.0,42.4746,270.0,0,2,15.381,38,0,0,0,KMeans cosine,6.0,0.42
625,5,0,0,0.0,0,2.3824,2.8765,3.0,2.0,2.8,3.0,1.0,1.2,2.0,0.6274,1.2578,1.4153,0.3936,1.6813,2.0032,-0.5059,-0.1012,0.0,-1.3008,-1.1693,-0.6435,1.0,5.0,2.0,2.0,2.0,2.0,2.8,3.0,3.0,3.8,4.0,2.0,3.6,4.0,3,3,4.6,5,0,1,0,KMeans cosine,2.0,0.34
1372,5,0,0,0.0,0,-1.1917,0.6013,1.9224,-0.5866,0.5692,2.3197,-4.4552,-0.7263,1.2421,0.4971,3.124,5.869,0.2471,13.1529,34.4457,-1.0222,-0.0508,1.0886,-1.953,-0.2748,1.2705,-13.7731,17.9274,-2.4134,-1.4939,0.0,-0.5866,0.5692,2.3197,0.3948,2.842,6.8146,1.0,15.1606,26.7247,2,2,1004.4,1338,0,0,0,KMeans cosine,4.0,0.53
1055,43,0,0,0.0,0,-0.1971,2.6592,37.0556,0.0,2.2,37.5,0.0,1.8285,33.3,0.0301,1.5677,11.8959,0.0009,7.7533,141.5122,-1.7622,3.6918,26.846,-1.5288,43.6122,812.724,-5.256,147.0,-0.191,1.718,30.45,0.0,2.2,37.5,0.0,3.1745,43.4,0.354,15.8328,147.0,2,2,197.7381,1022,0,0,0,Agglomerative cosine,2.0,0.92
699,11,16,0,1.4545,16,1.5894,97430.4525,1071704.0987,1.0,106520.6364,1171710.0,1.0,107492.4545,1182404.0,0.9513,56101.9485,617095.7298,0.9049,34618830893.8739,380807139761.1464,0.5929,2.5133,13.6753,-1.5761,24.6668,257.7172,1.0,13454352.0,1.0,79154.7727,870688.5,1.0,106520.6364,1171710.0,1.0,112576.5455,1238298.0,2.0,1217527.3636,13392718.0,2,2,67.0909,645,0,0,0,Agglomerative cosine,2.0,0.98
249,7,0,0,0.0,0,11.988,99.2838,124.5181,12.0,95.1667,119.0,12.0,86.0,143.0,6.6165,31.8398,45.6394,43.7781,1167.4864,2082.9523,0.2765,0.566,0.7918,-1.2103,-0.2384,0.5364,2.0,318.0,6.0,73.8333,93.0,12.0,95.1667,119.0,18.0,120.3333,153.0,23.0,156.0,266.0,0,14,65.1667,83,0,1,0,KMeans cosine,2.0,0.41
325,180,0,0,0.0,0,0.0154,0.1208,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.1233,0.3092,0.4497,0.0152,0.1023,0.2022,0.9845,2.8452,7.9116,-1.0372,8.3029,60.968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,1.0,1.0,1.0,1.0,0,2,2.0,2,0,1,0,DBScan cosine,0.31,0.34
1473,10,0,0,0.0,0,0.074,5.1054,32.5384,0.0,5.1,32.0,0.0,4.4,25.0,0.2619,1.6186,8.2272,0.0686,7.7799,67.6876,-1.9695,-0.1064,3.2581,-1.681,0.6697,8.627,0.0,49.0,0.0,3.8,26.0,0.0,5.1,32.0,0.0,6.3,39.0,1.0,6.6,33.0,0,2,7.4,34,0,0,0,KMeans cosine,9.0,0.27
1080,82,1396,0,17.0244,285,0.1209,0.7475,4.3472,0.1205,0.7189,4.0,-0.062,0.6106,4.18,0.0132,0.197,2.3054,0.0002,0.1413,5.3149,-0.882,0.7504,4.7389,-2.0006,4.2652,62.5485,-0.062,8.4826,0.1036,0.5969,3.1603,0.1205,0.7189,4.0,0.1277,0.8749,6.0,0.0915,1.1832,7.0,8,2,1010.0741,1080,0,0,0,Agglomerative cosine,6.0,0.93
